REQUERIMIENTOS BACKOFFICE (DATOS DE EJEMPLO)

N°;Fecha de Solicitud;Tipo de Solicitud;Asignado a;Fecha de Atencion;Estado
1;17/04/2026;CONSULTA SALDO;ANALISTA1;18/04/2026;ATENDIDO
2;26/04/2026;CONSULTA SALDO;ASISTENTE2;01/05/2026;ATENDIDO
3;11/04/2026;RECLAMO;ASISTENTE2;13/04/2026;ATENDIDO
4;08/04/2026;RECLAMO;ASISTENTE1;;PENDIENTE
5;08/04/2026;CONSULTA SALDO;ANALISTA1;10/04/2026;ATENDIDO
6;04/04/2026;OTROS;ASISTENTE2;;PENDIENTE
7;02/04/2026;RECLAMO;ASISTENTE1;03/04/2026;ATENDIDO
8;06/04/2026;ACTUALIZACION DATOS;ASISTENTE1;10/04/2026;ATENDIDO
9;25/04/2026;ABONO CTS;ASISTENTE1;;PENDIENTE
10;06/04/2026;CONSULTA SALDO;ANALISTA1;08/04/2026;ATENDIDO
11;27/04/2026;APERTURA CUENTA;ASISTENTE2;;PENDIENTE
12;23/04/2026;CONSULTA SALDO;ASISTENTE2;24/04/2026;ATENDIDO
13;28/04/2026;CONSULTA SALDO;ANALISTA1;28/04/2026;ATENDIDO
14;02/04/2026;ABONO CTS;ASISTENTE1;02/04/2026;ATENDIDO
15;07/04/2026;RECLAMO;ANALISTA1;;PENDIENTE
16;14/04/2026;CONSULTA SALDO;ASISTENTE2;14/04/2026;ATENDIDO
17;09/04/2026;ACTUALIZACION DATOS;ANALISTA1;;PENDIENTE
18;19/04/2026;APERTURA CUENTA;ASISTENTE2;;PENDIENTE
19;14/04/2026;RECLAMO;ASISTENTE1;;PENDIENTE
20;09/04/2026;ACTUALIZACION DATOS;ANALISTA1;09/04/2026;ATENDIDO
21;06/04/2026;ACTUALIZACION DATOS;ASISTENTE2;08/04/2026;ATENDIDO
22;15/04/2026;CONSULTA SALDO;ANALISTA1;;PENDIENTE
23;28/04/2026;ACTUALIZACION DATOS;ASISTENTE2;30/04/2026;ATENDIDO
24;29/04/2026;RECLAMO;ASISTENTE1;29/04/2026;ATENDIDO
25;29/04/2026;ACTUALIZACION DATOS;ASISTENTE2;02/05/2026;ATENDIDO
26;04/04/2026;OTROS;ANALISTA1;06/04/2026;ATENDIDO
27;07/04/2026;APERTURA CUENTA;ASISTENTE2;11/04/2026;ATENDIDO
28;16/04/2026;OTROS;ASISTENTE1;21/04/2026;ATENDIDO
29;17/04/2026;RECLAMO;ASISTENTE1;;PENDIENTE
30;25/04/2026;CONSULTA SALDO;ANALISTA1;;PENDIENTE
31;08/04/2026;APERTURA CUENTA;ASISTENTE1;;PENDIENTE
32;07/04/2026;APERTURA CUENTA;ANALISTA1;10/04/2026;ATENDIDO
33;18/04/2026;CONSULTA SALDO;ANALISTA1;;PENDIENTE
34;02/04/2026;ABONO CTS;ANALISTA1;03/04/2026;ATENDIDO
35;20/04/2026;RECLAMO;ANALISTA1;23/04/2026;ATENDIDO
36;01/04/2026;APERTURA CUENTA;ANALISTA1;;PENDIENTE
37;23/04/2026;CONSULTA SALDO;ANALISTA1;28/04/2026;ATENDIDO
38;19/04/2026;ABONO CTS;ASISTENTE2;;PENDIENTE
39;21/04/2026;ACTUALIZACION DATOS;ASISTENTE1;26/04/2026;ATENDIDO
40;04/04/2026;RECLAMO;ANALISTA1;08/04/2026;ATENDIDO
41;19/04/2026;RECLAMO;ASISTENTE1;;PENDIENTE
42;07/05/2026;CONSULTA SALDO;ANALISTA1;10/05/2026;ATENDIDO
43;06/05/2026;OTROS;ASISTENTE2;;PENDIENTE
44;22/05/2026;ACTUALIZACION DATOS;ASISTENTE2;22/05/2026;ATENDIDO
45;02/05/2026;ACTUALIZACION DATOS;ASISTENTE1;;PENDIENTE
46;04/05/2026;APERTURA CUENTA;ANALISTA1;;PENDIENTE
47;18/05/2026;APERTURA CUENTA;ANALISTA1;19/05/2026;ATENDIDO
48;25/05/2026;RECLAMO;ASISTENTE1;26/05/2026;ATENDIDO
49;24/05/2026;RECLAMO;ASISTENTE2;25/05/2026;ATENDIDO
50;19/05/2026;RECLAMO;ASISTENTE2;;PENDIENTE
51;11/05/2026;ABONO CTS;ANALISTA1;;PENDIENTE
52;11/05/2026;RECLAMO;ANALISTA1;;PENDIENTE
53;20/05/2026;APERTURA CUENTA;ASISTENTE2;;PENDIENTE
54;15/05/2026;ABONO CTS;ASISTENTE2;;PENDIENTE
55;27/05/2026;ACTUALIZACION DATOS;ASISTENTE1;;PENDIENTE
56;29/05/2026;ABONO CTS;ANALISTA1;30/05/2026;ATENDIDO
57;01/05/2026;CONSULTA SALDO;ASISTENTE2;06/05/2026;ATENDIDO
58;14/05/2026;ABONO CTS;ASISTENTE2;;PENDIENTE
59;26/05/2026;CONSULTA SALDO;ASISTENTE1;29/05/2026;ATENDIDO
60;08/05/2026;ABONO CTS;ASISTENTE1;09/05/2026;ATENDIDO
61;10/05/2026;OTROS;ASISTENTE1;10/05/2026;ATENDIDO
62;01/05/2026;ACTUALIZACION DATOS;ASISTENTE1;;PENDIENTE
63;25/05/2026;OTROS;ANALISTA1;30/05/2026;ATENDIDO
64;19/05/2026;RECLAMO;ANALISTA1;22/05/2026;ATENDIDO
65;13/05/2026;ABONO CTS;ASISTENTE1;;PENDIENTE
